Wavelength,Huron_01,Huron_02,Ontario_04
410,0.08642533936651580,0.30226244343891400,0.5932394366197180
430,0.0823529411764706,0.269683257918552,0.5549295774647890
450,0.07285067873303170,0.22760180995475100,0.5142253521126760
470,0.06877828054298640,0.1990950226244340,0.463943661971831
490,0.06606334841628960,0.17873303167420800,0.41366197183098600
510,0.07013574660633480,0.16787330316742100,0.37295774647887300
530,0.0742081447963801,0.15701357466063300,0.33943661971831000
550,0.08371040723981900,0.15701357466063300,0.317887323943662
570,0.10271493212669700,0.16787330316742100,0.30591549295774600
590,0.1420814479638010,0.21266968325791900,0.3226760563380280
610,0.22624434389140300,0.31447963800905000,0.40647887323943700
630,0.33619909502262400,0.40407239819004500,0.49267605633802800
650,0.3959276018099550,0.46244343891402700,0.5405633802816900
670,0.4556561085972850,0.5411764705882350,0.6123943661971830
690,0.5561085972850680,0.6470588235294120,0.6914084507042250